Name,Identifier,Weight,Sector,Shares Held
Intercontinental Exchange Inc.,ICE,0.207736,Financials,6320393
Allergan plc,AGN,0.205276,Health Care,3451853
Prologis Inc.,PLD,0.205134,Real Estate,7066262
Deere & Company,DE,0.204559,Industrials,3540265
General Motors Company,GM,0.203473,Consumer Discretionary,14776823
Ecolab Inc.,ECL,0.203168,Materials,2841364
Air Products and Chemicals Inc.,APD,0.201242,Materials,2465954
Simon Property Group Inc.,SPG,0.20054,Real Estate,3443176
Raytheon Company,RTN,0.200217,Industrials,3137839
General Dynamics Corporation,GD,0.200111,Industrials,3041885
Progressive Corporation,PGR,0.195291,Financials,6507904
Micron Technology Inc.,MU,0.194838,Information Technology,12506272
American International Group Inc.,AIG,0.194203,Financials,9769325
Exelon Corporation,EXC,0.193073,Utilities,10877043
MetLife Inc.,MET,0.192679,Financials,10665362
Charles Schwab Corporation,SCHW,0.192135,Financials,13253334
Aon plc,AON,0.189823,Financials,2694153
Kimberly-Clark Corporation,KMB,0.189623,Consumer Staples,3851098
Waste Management Inc.,WM,0.183873,Industrials,4376735
Biogen Inc.,BIIB,0.181754,Health Care,2190228
Vertex Pharmaceuticals Incorporated,VRTX,0.180958,Health Care,2869353
American Electric Power Company Inc.,AEP,0.179125,Utilities,5497861
Target Corporation,TGT,0.17782,Consumer Discretionary,5739316
Illinois Tool Works Inc.,ITW,0.176991,Industrials,3363269
Equinix Inc.,EQIX,0.176738,Real Estate,941547
Walgreens Boots Alliance Inc,WBA,0.173501,Consumer Staples,8705930
L3Harris Technologies Inc,LHX,0.171789,Industrials,2465655
Applied Materials Inc.,AMAT,0.171553,Information Technology,10573918
Capital One Financial Corporation,COF,0.170983,Financials,5260675
Analog Devices Inc.,ADI,0.169078,Information Technology,4142201
Aflac Incorporated,AFL,0.168637,Financials,8350757
Phillips 66,PSX,0.168035,Energy,4708998
Fidelity National Information Services Inc.,FIS,0.165761,Information Technology,3619333
Kinder Morgan Inc Class P,KMI,0.165389,Energy,21701156
Prudential Financial Inc.,PRU,0.164827,Financials,4548297
Estee Lauder Companies Inc. Class A,EL,0.163788,Consumer Staples,2456557
Edwards Lifesciences Corporation,EW,0.163215,Health Care,2335629
Travelers Companies Inc.,TRV,0.160837,Financials,2944835
Ford Motor Company,F,0.160279,Consumer Discretionary,43898132
Emerson Electric Co.,EMR,0.158769,Industrials,6906309
Marriott International Inc. Class A,MAR,0.157421,Consumer Discretionary,3096167
Roper Technologies Inc.,ROP,0.157377,Industrials,1154698
Baxter International Inc.,BAX,0.157041,Health Care,5310631
FedEx Corporation,FDX,0.155857,Industrials,2675161
Bank of New York Mellon Corporation,BK,0.154344,Financials,9868500
Sempra Energy,SRE,0.153657,Utilities,3054650
BB&T Corporation,BBT,0.153542,Financials,8517582
Ross Stores Inc.,ROST,0.153017,Consumer Discretionary,4150201
Autodesk Inc.,ADSK,0.152801,Information Technology,2460343
Humana Inc.,HUM,0.152383,Health Care,1517844
Sherwin-Williams Company,SHW,0.152179,Materials,912976
Occidental Petroleum Corporation,OXY,0.150968,Energy,8353238
Cognizant Technology Solutions Corporation Class A,CTSH,0.150094,Information Technology,6415945
Marathon Petroleum Corporation,MPC,0.149032,Energy,7502407
Public Storage,PSA,0.148996,Real Estate,1672502
HCA Healthcare Inc,HCA,0.147781,Health Care,2974705
Fiserv Inc.,FISV,0.146507,Information Technology,4364259
Anadarko Petroleum Corporation,APC,0.145747,Energy,5651091
Activision Blizzard Inc.,ATVI,0.145557,Communication Services,8581213
Dollar General Corporation,DG,0.145513,Consumer Discretionary,2893370
Delta Air Lines Inc.,DAL,0.143851,Industrials,6673429
Dow Inc.,DOW,0.143278,Materials,8369071
Valero Energy Corporation,VLO,0.142291,Energy,4703546
Williams Companies Inc.,WMB,0.138841,Energy,13496741
Welltower Inc.,WELL,0.138433,Real Estate,4536260
Allstate Corporation,ALL,0.137919,Financials,3731631
Yum! Brands Inc.,YUM,0.136429,Consumer Discretionary,3414892
Sysco Corporation,SYY,0.135928,Consumer Staples,5270386
U.S. Dollar,CASH_USD,0.135891,Unassigned,379257000
Eaton Corp. Plc,ETN,0.135204,Industrials,4767432
Moody's Corporation,MCO,0.133979,Financials,1854226
Johnson Controls International plc,JCI,0.132013,Industrials,8914448
Constellation Brands Inc. Class A,STZ,0.131616,Consumer Staples,1858280
eBay Inc.,EBAY,0.130219,Consumer Discretionary,9177469
Newmont Goldcorp Corporation,NEM,0.128174,Materials,9106947
General Mills Inc.,GIS,0.12764,Consumer Staples,6651074
HP Inc.,HPQ,0.127585,Information Technology,17078042
Xcel Energy Inc.,XEL,0.126409,Utilities,5765560
TE Connectivity Ltd.,TEL,0.125328,Information Technology,3773618
O'Reilly Automotive Inc.,ORLY,0.124912,Consumer Discretionary,886009
Public Service Enterprise Group Inc,PEG,0.121834,Utilities,5633324
Ingersoll-Rand Plc,IR,0.120605,Industrials,2702502
Xilinx Inc.,XLNX,0.11968,Information Technology,2821791
Hilton Worldwide Holdings Inc,HLT,0.118665,Consumer Discretionary,3288790
AvalonBay Communities Inc.,AVB,0.118301,Real Estate,1561812
Advanced Micro Devices Inc.,AMD,0.11769,Information Technology,9935289
Consolidated Edison Inc.,ED,0.11716,Utilities,3664087
Equity Residential,EQR,0.117141,Real Estate,4123217
ONEOK Inc.,OKE,0.116821,Energy,4588192
Amphenol Corporation Class A,APH,0.116184,Information Technology,3346317
