Name,Identifier,Weight,Sector,Shares Held
Kimco Realty Corporation,KIM,0.030665,Real Estate,4658902
Alaska Air Group Inc.,ALK,0.030653,Industrials,1351291
Albemarle Corporation,ALB,0.030228,Materials,1195283
J.B. Hunt Transport Services Inc.,JBHT,0.029883,Industrials,950313
FLIR Systems Inc.,FLIR,0.02892,Information Technology,1503040
DaVita Inc.,DVA,0.028241,Health Care,1397243
Unum Group,UNM,0.028113,Financials,2403085
Xerox Corporation,XRX,0.02784,Information Technology,2225083
SL Green Realty Corp.,SLG,0.027763,Real Estate,952361
Alliance Data Systems Corporation,ADS,0.027678,Information Technology,522051
Robert Half International Inc.,RHI,0.027634,Industrials,1346437
Assurant Inc.,AIZ,0.027169,Financials,688706
Sealed Air Corporation,SEE,0.027086,Materials,1749028
PVH Corp.,PVH,0.026716,Consumer Discretionary,844973
Flowserve Corporation,FLS,0.026536,Industrials,1433881
People's United Financial Inc.,PBCT,0.026484,Financials,4418111
Macy's Inc,M,0.025742,Consumer Discretionary,3357167
A. O. Smith Corporation,AOS,0.025208,Industrials,1587367
Perrigo Co. Plc,PRGO,0.025167,Health Care,1384842
Ralph Lauren Corporation Class A,RL,0.024683,Consumer Discretionary,619996
Pentair plc,PNR,0.024,Industrials,1808377
Harley-Davidson Inc.,HOG,0.023699,Consumer Discretionary,1832183
Hanesbrands Inc.,HBI,0.023387,Consumer Discretionary,4059062
Fox Corporation Class B,FOX,0.023304,Communication Services,1791202
L Brands Inc.,LB,0.022951,Consumer Discretionary,2514827
Nektar Therapeutics,NKTR,0.022852,Health Care,1902092
Newell Brands Inc,NWL,0.022693,Consumer Discretionary,4332084
H&R Block Inc.,HRB,0.02262,Consumer Discretionary,2244181
Cimarex Energy Co.,XEC,0.022253,Energy,1130841
Helmerich & Payne Inc.,HP,0.022136,Energy,1193322
Jefferies Financial Group Inc.,JEF,0.021966,Financials,2927682
Rollins Inc.,ROL,0.021732,Industrials,1627360
Quanta Services Inc.,PWR,0.021723,Industrials,1619757
Capri Holdings Limited,CPRI,0.021419,Consumer Discretionary,1703080
News Corporation Class A,NWSA,0.019896,Communication Services,4200204
Leggett & Platt Incorporated,LEG,0.019656,Consumer Discretionary,1449713
IPG Photonics Corporation,IPGP,0.01963,Information Technology,396505
Under Armour Inc. Class A,UAA,0.019397,Consumer Discretionary,2038236
Discovery Inc. Class A,DISCA,0.019379,Communication Services,1710459
Affiliated Managers Group Inc.,AMG,0.019193,Financials,588519
Foot Locker Inc.,FL,0.019017,Consumer Discretionary,1286001
TripAdvisor Inc.,TRIP,0.018555,Communication Services,1126967
Under Armour Inc. Class C,UA,0.017173,Consumer Discretionary,2064110
Gap Inc.,GPS,0.015702,Consumer Discretionary,2411815
Macerich Company,MAC,0.014086,Real Estate,1180164
Nordstrom Inc.,JWN,0.013814,Consumer Discretionary,1261155
Coty Inc. Class A,COTY,0.013559,Consumer Staples,3366776
News Corporation Class B,NWS,0.006142,Communication Services,1256728
